序号,门类、专业类,专业代码,专业名称,"学位授予门类",修业年限,"增设年度"
196,外国语言文学类,050275T,塔吉克语,文学,四年,2015
197,外国语言文学类,050276T,茨瓦纳语,文学,四年,2016
198,外国语言文学类,050277T,恩德贝莱语,文学,四年,2016
199,外国语言文学类,050278T,科摩罗语,文学,四年,2016
200,外国语言文学类,050279T,克里奥尔语,文学,四年,2016
201,外国语言文学类,050280T,绍纳语,文学,四年,2016
202,外国语言文学类,050281T,提格雷尼亚语,文学,四年,2016
203,外国语言文学类,050282T,白俄罗斯语,文学,四年,2016
204,外国语言文学类,050283T,毛利语,文学,四年,2016
205,外国语言文学类,050284T,汤加语,文学,四年,2016
206,外国语言文学类,050285T,萨摩亚语,文学,四年,2016
207,外国语言文学类,050286T,库尔德语,文学,四年,2016
208,外国语言文学类,050287T,比斯拉马语,文学,四年,2017
209,外国语言文学类,050288T,达里语,文学,四年,2017
210,外国语言文学类,050289T,德顿语,文学,四年,2017
211,外国语言文学类,050290T,迪维希语,文学,四年,2017
212,外国语言文学类,050291T,斐济语,文学,四年,2017
213,外国语言文学类,050292T,库克群岛毛利语,文学,四年,2017
214,外国语言文学类,050293T,隆迪语,文学,四年,2017
215,外国语言文学类,050294T,卢森堡语,文学,四年,2017
216,外国语言文学类,050295T,卢旺达语,文学,四年,2017
217,外国语言文学类,050296T,纽埃语,文学,四年,2017
218,外国语言文学类,050297T,皮金语,文学,四年,2017
219,外国语言文学类,050298T,切瓦语,文学,四年,2017
220,外国语言文学类,050299T,塞苏陀语,文学,四年,2017
221,外国语言文学类,050200T,桑戈语,文学,四年,2017
222,外国语言文学类,0502100T,语言学,文学,四年,2018
223,外国语言文学类,0502101T,塔玛齐格特语,文学,四年,2018
224,外国语言文学类,0502102T,爪哇语,文学,四年,2018
225,外国语言文学类,0502103T,旁遮普语,文学,四年,2018
226,新闻传播学类,050301,新闻学,文学,四年,
227,新闻传播学类,050302,广播电视学,文学,四年,
228,新闻传播学类,050303,广告学,文学,四年,
229,新闻传播学类,050304,传播学,文学,四年,
230,新闻传播学类,050305,编辑出版学,文学,四年,
231,新闻传播学类,050306T,网络与新媒体,文学,四年,
232,新闻传播学类,050307T,数字出版,文学,四年,
233,新闻传播学类,050308T,时尚传播,文学,四年,2017
234,新闻传播学类,050309T,国际新闻与传播,文学,四年,2018
235,新闻传播学类,050310T,会展,"管理学,文学",四年,2019
236,历史学类,060101,历史学,历史学,四年,
237,历史学类,060102,世界史,历史学,四年,
238,历史学类,060103,考古学,历史学,四年,
239,历史学类,060104,文物与博物馆学,历史学,四年,
240,历史学类,060105T,文物保护技术,历史学,四年,
241,历史学类,060106T,外国语言与外国历史,"文学,历史学",四年,
242,历史学类,060107T,文化遗产,历史学,四年,2015
243,历史学类,060108T,古文字学,历史学,四年,2020
244,历史学类,060109T,科学史,历史学,四年,2021
245,数学类,070101,数学与应用数学,理学,四年,
246,数学类,070102,信息与计算科学,理学,四年,
247,数学类,070103T,数理基础科学,理学,四年,
248,数学类,070104T,数据计算及应用,理学,四年,2018
249,物理学类,070201,物理学,理学,四年,
250,物理学类,070202,应用物理学,理学,四年,
251,物理学类,070203,核物理,理学,四年,
252,物理学类,070204T,声学,理学,四年,
253,物理学类,070205T,系统科学与工程,理学,四年,2017
254,物理学类,070206T,量子信息科学,理学,四年,2020
255,化学类,070301,化学,理学,四年,
256,化学类,070302,应用化学,"工学,理学",四年,
257,化学类,070303T,化学生物学,理学,四年,
258,化学类,070304T,分子科学与工程,理学,四年,
259,化学类,070305T,能源化学,理学,四年,2015
260,化学类,070306T,化学测量学与技术,理学,四年,2020
261,化学类,070307T,资源化学,理学,四年,2022
262,天文学类,070401,天文学,理学,四年,
263,地理科学类,070501,地理科学,理学,四年,
264,地理科学类,070502,自然地理与资源环境,"管理学,理学",四年,
265,地理科学类,070503,人文地理与城乡规划,"管理学,理学",四年,
266,地理科学类,070504,地理信息科学,理学,四年,
267,大气科学类,070601,大气科学,理学,四年,
268,大气科学类,070602,应用气象学,理学,四年,
269,大气科学类,070603T,气象技术与工程,"理学,工学",四年,2020
270,大气科学类,070604T,地球系统科学,理学,四年,2022
271,海洋科学类,070701,海洋科学,理学,四年,
272,海洋科学类,070702,海洋技术,"工学,理学",四年,
273,海洋科学类,070703T,海洋资源与环境,理学,四年,
274,海洋科学类,070704T,军事海洋学,理学,四年,
275,地球物理学类,070801,地球物理学,理学,四年,
276,地球物理学类,070802,空间科学与技术,"工学,理学",四年,
277,地球物理学类,070803T,防灾减灾科学与工程,工学,四年,2018
278,地球物理学类,070804TK,行星科学,理学,四年,2021
279,地质学类,070901,地质学,理学,四年,
280,地质学类,070902,地球化学,理学,四年,
281,地质学类,070903T,地球信息科学与技术,"工学,理学",四年,
282,地质学类,070904T,古生物学,理学,四年,
283,生物科学类,071001,生物科学,理学,四年,
284,生物科学类,071002,生物技术,"工学,理学",四年,
285,生物科学类,071003,生物信息学,"工学,理学",四年,
286,生物科学类,071004,生态学,理学,四年,
287,生物科学类,071005T,整合科学,理学,四年,2016
288,生物科学类,071006T,神经科学,理学,四年,2016
289,心理学类,071101,心理学,"教育学,理学",四年,
290,心理学类,071102,应用心理学,"教育学,理学",四年,
291,统计学类,071201,统计学,理学,四年,
292,统计学类,071202,应用统计学,理学,四年,
293,统计学类,071203T,数据科学,理学,四年,2022
294,统计学类,071204T,生物统计学,理学,四年,2022
295,力学类,080101,理论与应用力学,"理学,工学",四年,
296,力学类,080102,工程力学,工学,四年,
297,机械类,080201,机械工程,工学,四年,
298,机械类,080202,机械设计制造及其自动化,工学,四年,
299,机械类,080203,材料成型及控制工程,工学,四年,
300,机械类,080204,机械电子工程,工学,四年,
301,机械类,080205,工业设计,工学,四年,
302,机械类,080206,过程装备与控制工程,工学,四年,
303,机械类,080207,车辆工程,工学,四年,
304,机械类,080208,汽车服务工程,工学,四年,
305,机械类,080209T,机械工艺技术,工学,四年,
306,机械类,080210T,微机电系统工程,工学,四年,
307,机械类,080211T,机电技术教育,工学,四年,
308,机械类,080212T,汽车维修工程教育,工学,四年,
309,机械类,080213T,智能制造工程,工学,四年,2017
310,机械类,080214T,智能车辆工程,工学,四年,2018
311,机械类,080215T,仿生科学与工程,工学,四年,2018
312,机械类,080216T,新能源汽车工程,工学,四年,2018
313,机械类,080217T,增材制造工程,工学,四年,2020
314,机械类,080218T,智能交互设计,工学,四年,2020
315,机械类,080219T,应急装备技术与工程,工学,四年,2020
316,仪器类,080301,测控技术与仪器,工学,四年,
317,仪器类,080302T,精密仪器,工学,四年,2017
318,仪器类,080303T,智能感知工程,工学,四年,2019
319,材料类,080401,材料科学与工程,工学,四年,
320,材料类,080402,材料物理,"理学,工学",四年,
321,材料类,080403,材料化学,"理学,工学",四年,
322,材料类,080404,冶金工程,工学,四年,
323,材料类,080405,金属材料工程,工学,四年,
324,材料类,080406,无机非金属材料工程,工学,四年,
325,材料类,080407,高分子材料与工程,工学,四年,
326,材料类,080408,复合材料与工程,工学,四年,
327,材料类,080409T,粉体材料科学与工程,工学,四年,
328,材料类,080410T,宝石及材料工艺学,工学,四年,
329,材料类,080411T,焊接技术与工程,工学,"五年,四年",
330,材料类,080412T,功能材料,工学,四年,
331,材料类,080413T,纳米材料与技术,工学,四年,
332,材料类,080414T,新能源材料与器件,工学,四年,
333,材料类,080415T,材料设计科学与工程,工学,四年,2015
334,材料类,080416T,复合材料成型工程,工学,四年,2017
335,材料类,080417T,智能材料与结构,工学,四年,2019
336,材料类,080418T,光电信息材料与器件,工学,四年,2021
337,材料类,080419T,生物材料,工学,四年,2022
338,能源动力类,080501,能源与动力工程,工学,四年,
339,能源动力类,080502T,能源与环境系统工程,工学,四年,
340,能源动力类,080503T,新能源科学与工程,工学,四年,
341,能源动力类,080504T,储能科学与工程,工学,四年,2019
342,能源动力类,080505T,能源服务工程,工学,四年,2020
343,能源动力类,080506TK,氢能科学与工程,工学,四年,2021
344,能源动力类,080507TK,可持续能源,工学,四年,2021
345,电气类,080601,电气工程及其自动化,工学,四年,
346,电气类,080602T,智能电网信息工程,工学,四年,
347,电气类,080603T,光源与照明,工学,四年,
348,电气类,080604T,电气工程与智能控制,工学,四年,
349,电气类,080605T,电机电器智能化,工学,四年,2016
350,电气类,080606T,电缆工程,工学,四年,2016
351,电气类,080607T,能源互联网工程,工学,四年,2020
352,电气类,080608TK,智慧能源工程,工学,四年,2021
353,电气类,080609T,电动载运工程,工学,四年,2022
354,电子信息类,080701,电子信息工程,"理学,工学",四年,
355,电子信息类,080702,电子科学与技术,"理学,工学",四年,
356,电子信息类,080703,通信工程,工学,四年,
357,电子信息类,080704,微电子科学与工程,"理学,工学",四年,
358,电子信息类,080705,光电信息科学与工程,"理学,工学",四年,
359,电子信息类,080706,信息工程,工学,四年,
360,电子信息类,080707T,广播电视工程,工学,四年,
361,电子信息类,080708T,水声工程,工学,四年,
362,电子信息类,080709T,电子封装技术,工学,四年,
363,电子信息类,080710T,集成电路设计与集成系统,工学,四年,
364,电子信息类,080711T,医学信息工程,工学,四年,
365,电子信息类,080712T,电磁场与无线技术,工学,四年,
366,电子信息类,080713T,电波传播与天线,工学,四年,
367,电子信息类,080714T,电子信息科学与技术,"理学,工学",四年,
368,电子信息类,080715T,电信工程及管理,工学,四年,
369,电子信息类,080716T,应用电子技术教育,工学,四年,
370,电子信息类,080717T,人工智能,工学,四年,2018
371,电子信息类,080718T,海洋信息工程,工学,四年,2019
372,电子信息类,080719T,柔性电子学,工学,四年,2020
373,电子信息类,080720T,智能测控工程,工学,四年,2020
374,自动化类,080801,自动化,工学,四年,
375,自动化类,080802T,轨道交通信号与控制,工学,四年,
376,自动化类,080803T,机器人工程,工学,四年,2015
377,自动化类,080804T,邮政工程,工学,四年,2016
378,自动化类,080805T,核电技术与控制工程,工学,四年,2017
379,自动化类,080806T,智能装备与系统,工学,四年,2019
380,自动化类,080807T,工业智能,工学,四年,2019
381,自动化类,080808T,智能工程与创意设计,工学,四年,2020
382,计算机类,080901,计算机科学与技术,"理学,工学",四年,
383,计算机类,080902,软件工程,工学,四年,
384,计算机类,080903,网络工程,工学,四年,
385,计算机类,080904K,信息安全,"管理学,理学,工学",四年,
386,计算机类,080905,物联网工程,工学,四年,
387,计算机类,080906,数字媒体技术,工学,四年,
388,计算机类,080907T,智能科学与技术,"理学,工学",四年,
389,计算机类,080908T,空间信息与数字技术,工学,四年,
390,计算机类,080909T,电子与计算机工程,工学,四年,
391,计算机类,080910T,数据科学与大数据技术,"理学,工学",四年,2015
392,计算机类,080911TK,网络空间安全,工学,四年,2015
393,计算机类,080912T,新媒体技术,工学,四年,2016
394,计算机类,080913T,电影制作,工学,四年,2016
395,计算机类,080914TK,保密技术,工学,四年,2017
396,计算机类,080915T,服务科学与工程,工学,四年,2019
397,计算机类,080916T,虚拟现实技术,工学,四年,2019
398,计算机类,080917T,区块链工程,工学,四年,2019
399,计算机类,080918TK,密码科学与技术,工学,四年,2020
400,土木类,081001,土木工程,工学,四年,
401,土木类,081002,建筑环境与能源应用工程,工学,四年,
402,土木类,081003,给排水科学与工程,工学,四年,
403,土木类,081004,建筑电气与智能化,工学,四年,
404,土木类,081005T,城市地下空间工程,工学,四年,
405,土木类,081006T,道路桥梁与渡河工程,工学,四年,
406,土木类,081007T,铁道工程,工学,四年,2014
407,土木类,081008T,智能建造,工学,四年,2017
408,土木类,081009T,土木、水利与海洋工程,工学,四年,2018
409,土木类,081010T,土木、水利与交通工程,工学,四年,2019
410,土木类,081011T,城市水系统工程,工学,四年,2020
411,土木类,081012T,智能建造与智慧交通,工学,四年,2021
412,水利类,081101,水利水电工程,工学,四年,
413,水利类,081102,水文与水资源工程,工学,四年,
414,水利类,081103,港口航道与海岸工程,工学,四年,
415,水利类,081104T,水务工程,工学,四年,
416,水利类,081105T,水利科学与工程,工学,四年,2015
417,水利类,081106T,智慧水利,工学,四年,2021
418,测绘类,081201,测绘工程,工学,四年,
419,测绘类,081202,遥感科学与技术,工学,四年,
420,测绘类,081203T,导航工程,工学,四年,
421,测绘类,081204T,地理国情监测,工学,四年,
422,测绘类,081205T,地理空间信息工程,工学,四年,2015
423,化工与制药类,081301,化学工程与工艺,工学,四年,
424,化工与制药类,081302,制药工程,工学,四年,
425,化工与制药类,081303T,资源循环科学与工程,工学,四年,
426,化工与制药类,081304T,能源化学工程,工学,四年,
427,化工与制药类,081305T,化学工程与工业生物工程,工学,四年,
428,化工与制药类,081306T,化工安全工程,工学,四年,2017
429,化工与制药类,081307T,涂料工程,工学,四年,2017
430,化工与制药类,081308T,精细化工,工学,四年,2018
431,地质类,081401,地质工程,工学,四年,
432,地质类,081402,勘查技术与工程,工学,四年,
433,地质类,081403,资源勘查工程,工学,四年,
434,地质类,081404T,地下水科学与工程,工学,四年,
435,地质类,081405T,旅游地学与规划工程,工学,四年,2019
436,地质类,081406T,智能地球探测,工学,四年,2021
437,地质类,081407T,资源环境大数据工程,工学,四年,2021
438,矿业类,081501,采矿工程,工学,四年,
439,矿业类,081502,石油工程,工学,四年,
440,矿业类,081503,矿物加工工程,工学,四年,
441,矿业类,081504,油气储运工程,工学,四年,
442,矿业类,081505T,矿物资源工程,工学,四年,
443,矿业类,081506T,海洋油气工程,工学,四年,
444,矿业类,081507T,智能采矿工程,工学,四年,2020
445,矿业类,081508TK,碳储科学与工程,工学,四年,2021
446,纺织类,081601,纺织工程,工学,四年,
447,纺织类,081602,服装设计与工程,"艺术学,工学",四年,
448,纺织类,081603T,非织造材料与工程,工学,四年,
449,纺织类,081604T,服装设计与工艺教育,工学,四年,
450,纺织类,081605T,丝绸设计与工程,工学,四年,2016
451,轻工类,081701,轻化工程,工学,四年,
452,轻工类,081702,包装工程,工学,四年,
453,轻工类,081703,印刷工程,工学,四年,
454,轻工类,081704T,香料香精技术与工程,工学,四年,2016
455,轻工类,081705T,化妆品技术与工程,工学,四年,2017
456,轻工类,081706TK,生物质能源与材料,工学,四年,2021
457,交通运输类,081801,交通运输,工学,四年,
458,交通运输类,081802,交通工程,工学,四年,
459,交通运输类,081803K,航海技术,工学,四年,
460,交通运输类,081804K,轮机工程,工学,四年,
461,交通运输类,081805K,飞行技术,工学,四年,
462,交通运输类,081806T,交通设备与控制工程,工学,四年,
463,交通运输类,081807T,救助与打捞工程,工学,四年,
464,交通运输类,081808TK,船舶电子电气工程,工学,四年,
465,交通运输类,081809T,轨道交通电气与控制,工学,四年,2017
466,交通运输类,081810T,邮轮工程与管理,工学,四年,2017
467,交通运输类,081811T,智慧交通,工学,四年,2020
468,交通运输类,081812T,智能运输工程,工学,四年,2021
469,海洋工程类,081901,船舶与海洋工程,工学,四年,
470,海洋工程类,081902T,海洋工程与技术,工学,四年,
471,海洋工程类,081903T,海洋资源开发技术,工学,四年,
472,海洋工程类,081904T,海洋机器人,工学,四年,2018
473,海洋工程类,081905T,智慧海洋技术,工学,四年,2021
474,航空航天类,082001,航空航天工程,工学,四年,
475,航空航天类,082002,飞行器设计与工程,工学,四年,
476,航空航天类,082003,飞行器制造工程,工学,四年,
477,航空航天类,082004,飞行器动力工程,工学,四年,
478,航空航天类,082005,"飞行器环境与生命保障工程",工学,四年,
479,航空航天类,082006T,飞行器质量与可靠性,工学,四年,
480,航空航天类,082007T,飞行器适航技术,工学,四年,
481,航空航天类,082008T,飞行器控制与信息工程,工学,四年,2015
482,航空航天类,082009T,无人驾驶航空器系统工程,工学,四年,2016
483,航空航天类,082010T,智能飞行器技术,工学,四年,2020
484,航空航天类,082011T,空天智能电推进技术,工学,四年,2021
485,航空航天类,082012T,飞行器运维工程,工学,四年,2022
486,兵器类,082101,武器系统与工程,工学,四年,
487,兵器类,082102,武器发射工程,工学,四年,
488,兵器类,082103,探测制导与控制技术,工学,四年,
489,兵器类,082104,弹药工程与爆炸技术,工学,四年,
490,兵器类,082105,特种能源技术与工程,工学,四年,
491,兵器类,082106,装甲车辆工程,工学,四年,
492,兵器类,082107,信息对抗技术,工学,四年,
493,兵器类,082108T,智能无人系统技术,工学,四年,2019
494,核工程类,082201,核工程与核技术,工学,四年,
495,核工程类,082202,辐射防护与核安全,工学,四年,
496,核工程类,082203,工程物理,工学,四年,
497,核工程类,082204,核化工与核燃料工程,工学,四年,
498,农业工程类,082301,农业工程,工学,四年,
499,农业工程类,082302,农业机械化及其自动化,工学,四年,
500,农业工程类,082303,农业电气化,工学,四年,
501,农业工程类,082304,农业建筑环境与能源工程,工学,四年,
502,农业工程类,082305,农业水利工程,工学,四年,
503,农业工程类,082306T,土地整治工程,工学,四年,2016
504,农业工程类,082307T,农业智能装备工程,工学,四年,2019
505,林业工程类,082401,森林工程,工学,四年,
506,林业工程类,082402,木材科学与工程,工学,四年,
507,林业工程类,082403,林产化工,工学,四年,
508,林业工程类,082404T,家具设计与工程,工学,四年,2018
509,林业工程类,082405T,木结构建筑与材料,工学,四年,2021
510,环境科学与工程类,082501,环境科学与工程,工学,四年,
511,环境科学与工程类,082502,环境工程,工学,四年,
512,环境科学与工程类,082503,环境科学,"理学,工学","五年,四年",
513,环境科学与工程类,082504,环境生态工程,工学,四年,
514,环境科学与工程类,082505T,环保设备工程,工学,四年,
515,环境科学与工程类,082506T,资源环境科学,"理学,工学",四年,
516,环境科学与工程类,082507T,水质科学与技术,工学,四年,
517,生物医学工程类,082601,生物医学工程,"理学,工学","五年,四年",
518,生物医学工程类,082602T,假肢矫形工程,工学,四年,
